state_long,state,population
California,CA,38802500
Texas,TX,26956958
Florida,FL,19893297
New York,NY,19746227
Illinois,IL,12880580
Pennsylvania,PA,12787209
Ohio,OH,11594163
Georgia,GA,10097343
North Carolina,NC,9943964
Michigan,MI,9909877
New Jersey,NJ,8938175
Virginia,VA,8326289
Washington,WA,7061530
Massachusetts,MA,6745408
Arizona,AZ,6731484
Indiana,IN,6596855
Tennessee,TN,6549352
Missouri,MO,6063589
Maryland,MD,5976407
Wisconsin,WI,5757564
Minnesota,MN,5457173
Colorado,CO,5355856
Alabama,AL,4849377
South Carolina,SC,4832482
Louisiana,LA,4649676
Kentucky,KY,4413457
Oregon,OR,3970239
Oklahoma,OK,3878051
Connecticut,CT,3596677
Iowa,IA,3107126
Arkansas,AR,2994079
Mississippi,MS,2984926
Utah,UT,2942902
Kansas,KS,2904021
Nevada,NV,2839099
New Mexico,NM,2085572
Nebraska,NE,1881503
West Virginia,WV,1850326
Idaho,ID,1634464
Hawaii,HI,1419561
Maine,ME,1330089
New Hampshire,NH,1326813
Rhode Island,RI,1055173
Montana,MT,1023579
Delaware,DE,935614
South Dakota,SD,853175
North Dakota,ND,739482
Alaska,AK,737732
Vermont,VT,626011
Wyoming,WY,584153
